date,daily_return,equity_multiple
2025-03-08,-0.0046909819,7.0221034062
2025-03-09,0.0107413228,7.0975300857
2025-03-10,0.0130008466,7.1898039858
2025-03-11,0.0014561672,7.2002735425
2025-03-12,0.0037049042,7.2269498663
2025-03-13,0.0119692926,7.3134513441
2025-03-14,0.0028315418,7.3341596873
2025-03-15,0.0098693597,7.4065431477
2025-03-16,0.0018597573,7.4203175200
2025-03-17,0.0052182098,7.4590382937
2025-03-18,-0.0032131082,7.4350715966
2025-03-19,0.0018412292,7.4487612675
2025-03-20,0.0025234457,7.4675578123
2025-03-21,-0.0017535735,7.4544629010
2025-03-22,-0.0044279207,7.4214551301
2025-03-23,-0.0048328086,7.3855886580
2025-03-24,0.0016435568,7.3977272926
2025-03-25,-0.0202625438,7.2478305194
2025-03-26,-0.0063582959,7.2017466684
2025-03-27,0.0125984671,7.2924776367
2025-03-28,0.0060640578,7.3366996429
2025-03-29,0.0072735704,7.3900636445
2025-03-30,-0.0012716720,7.3806659075
2025-03-31,-0.0011385484,7.3722626625
2025-04-01,-0.0052321842,7.3336896264
2025-04-02,-0.0047942627,7.2985299915
2025-04-03,-0.0013359699,7.2887793749
2025-04-04,0.0110457053,7.3692890839
2025-04-05,-0.0010057382,7.3618775080
2025-04-06,-0.0030285350,7.3395818043
2025-04-07,-0.0005604576,7.3354682800
2025-04-08,0.0006766295,7.3404316739
2025-04-09,-0.0043471122,7.3085219941
2025-04-10,0.0040623750,7.3382119509
2025-04-11,-0.0083742232,7.2767601263
2025-04-12,0.0101168847,7.3503782698
2025-04-13,-0.0024709497,7.3322158546
2025-04-14,0.0074917142,7.3871467199
2025-04-15,-0.0044050200,7.3546061907
2025-04-16,-0.0001564906,7.3534552640
2025-04-17,0.0009864534,7.3607091049
2025-04-18,0.0040436675,7.3904733653
2025-04-19,-0.0078879110,7.3321779694
2025-04-20,-0.0034347628,7.3069936771
2025-04-21,0.0028612154,7.3279005598
2025-04-22,-0.0004394593,7.3246802458
2025-04-23,-0.0099149640,7.2520563051
2025-04-24,0.0029128172,7.2731802198
2025-04-25,0.0018027278,7.2862917841
2025-04-26,0.0059540674,7.3296748568
2025-04-27,0.0048360320,7.3651213987
2025-04-28,-0.0052358306,7.3265588705
2025-04-29,0.0033034636,7.3507618910
2025-04-30,0.0076318023,7.4068614524
2025-05-01,-0.0010968084,7.3987375445
2025-05-02,-0.0045545239,7.3650398175
2025-05-03,0.0053032488,7.4040984564
2025-05-04,-0.0042658833,7.3725134363
2025-05-05,0.0112797508,7.4556735509
2025-05-06,0.0035448143,7.4821025292
2025-05-07,-0.0046627884,7.4472150685
2025-05-08,-0.0260376534,7.2533070637
2025-05-09,0.0068095814,7.3026990489
2025-05-10,-0.0294544341,7.0876021808
2025-05-11,0.0017543652,7.1000364235
2025-05-12,0.0039472580,7.1280620991
2025-05-13,-0.0002995375,7.1259269770
2025-05-14,0.0006797942,7.1307711405
2025-05-15,0.0142563338,7.2324297944
2025-05-16,-0.0016486551,7.2205060122
2025-05-17,0.0027670719,7.2404856712
2025-05-18,0.0167158808,7.3615167664
2025-05-19,0.0001799454,7.3628414378
2025-05-20,0.0002418455,7.3646221076
2025-05-21,0.0045264939,7.3979580243
2025-05-22,-0.0015302142,7.3866375637
2025-05-23,-0.0010279453,7.3790445044
2025-05-24,0.0058950729,7.4225445095
2025-05-25,-0.0014732191,7.4116094753
2025-05-26,-0.0027810370,7.3909975150
2025-05-27,-0.0013680572,7.3808862073
2025-05-28,0.0009940314,7.3882230398
2025-05-29,-0.0043524530,7.3560661460
2025-05-30,-0.0036729451,7.3290477192
2025-05-31,-0.0014345162,7.3185340814
2025-06-01,-0.0031262942,7.2956541906
2025-06-02,-0.0029665173,7.2740115064
2025-06-03,0.0009512568,7.2809309593
2025-06-04,-0.0000276950,7.2807293139
2025-06-05,-0.0060617223,7.2365955548
2025-06-06,0.0010786274,7.2444011450
2025-06-07,0.0046511677,7.2780960698
2025-06-08,-0.0047186682,7.2437531496
2025-06-09,-0.0015149804,7.2327790053
