key,family,signal_tf_minutes,fast_window,slow_window,entry_threshold,exit_threshold,stop_atr,take_atr,max_holding_bars,valid,zero_trade,invalid_reason,trades,net_pnl,net_return,daily_sharpe,annualized_sharpe,median_fold_sharpe,positive_folds,max_drawdown,active_assets,max_asset_positive_share,long_trades,short_trades,long_net_pnl,short_net_pnl,missing_bars,funding_events
c7598aac20f06590ef87,B,15,5,21,0.0,0.003,2.5,3.0,12,True,False,,160540,-85665.27556985329,-0.8566527556985328,-0.06866795728224856,-1.3118994818280096,0.0,0,-8.025741543321363,10,0.16121918375938513,79673,80867,-37473.719878502605,-48191.55569135102,2,17485
c759f4caa6110e0961cd,A,60,5,34,0.0,0.003,2.0,3.0,24,True,False,,85482,-62458.094113172,-0.62458094113172,0.029954123275077044,0.572272721637295,0.0,1,-5.914290191514038,10,0.16435332819607176,42585,42897,-24495.436961863972,-37962.657151307365,8,15466
c75f25e08281129cb47e,A,60,5,13,0.01,0.003,2.0,3.0,12,True,False,,49941,-42757.72895060266,-0.4275772895060266,-0.010231155890717073,-0.19546595883671522,0.0,0,-4.2016960166724395,10,0.16791002232000093,25542,24399,-14114.673295127262,-28643.05565547565,2,3952
c76d6e12e11d818396fd,A,60,8,21,0.0,0.003,1.5,3.0,48,True,False,,44197,-30398.841270405417,-0.3039884127040542,-0.04098064381181435,-0.7829341007002065,0.0,1,-2.3848727980934794,10,0.1759407647412044,22314,21883,-12410.877214279664,-17987.96405612587,8,16671
c7702c227ea849c28226,B,15,5,13,0.005,0.003,2.0,2.0,24,True,False,,58766,-51823.69596320595,-0.5182369596320595,-0.06838608329591987,-1.3065142868805986,0.0,0,-5.182369596320598,10,0.15541874656760232,29675,29091,-22658.830741126672,-29164.8652220798,2,10877
c772daa83e956c702139,B,15,8,13,0.01,0.003,1.5,2.0,24,True,False,,35949,-33437.0620031423,-0.33437062003142304,-0.058200133219702584,-1.1119119839172351,0.0,0,-3.2175528118766388,10,0.16346651868683426,18576,17373,-11496.076855155774,-21940.985147986466,0,5919
c786bb612f819f951a0b,B,15,5,13,0.0,0.003,2.0,3.0,12,True,False,,173264,-88486.96201308102,-0.8848696201308102,-0.06061809749308456,-1.1581071264972007,0.0,0,-8.848696201308108,10,0.15997275431525498,85657,87607,-42146.87138264678,-46340.09063043194,3,18138
c79573063bc66c52145e,B,60,5,34,0.0,0.0,1.5,3.0,24,True,False,,55533,-53525.87579098843,-0.5352587579098843,0.005997135250264193,0.11457510808040242,0.0,1,-5.357293003171366,10,0.1384673383505442,27890,27643,-28074.25982894615,-25451.615962042495,1,10644
c79dd11e02001d290cc7,B,15,5,13,0.01,0.003,2.5,3.0,48,True,False,,24868,-24931.4310854518,-0.249314310854518,-0.03489463287133868,-0.6666610249424448,0.0,0,-2.4300829314428896,10,0.1681183923765242,12813,12055,-7289.612319180278,-17641.818766271714,1,8715
c79ef9b6f38fa7c49768,A,15,3,21,0.01,0.003,2.0,2.0,24,True,False,,33742,-42166.28949045018,-0.4216628949045018,-0.0695284810513199,-1.328339765352174,0.0,0,-4.216628949045015,10,0.1630297294127419,17265,16477,-18793.903831960277,-23372.38565848995,4,5929
c7c568c3eab8d81dc5ad,B,15,5,13,0.005,0.0,2.0,2.0,48,True,False,,49198,-45709.05538917414,-0.45709055389174136,-0.06243327086658645,-1.1927859651050985,0.0,0,-4.553660899905973,10,0.15649408845154983,24986,24212,-21290.272106046126,-24418.783283127952,2,13408
c7ec9deeb222d1c0fb30,B,15,3,21,0.0,0.003,1.5,3.0,48,True,False,,79605,-57054.01278901505,-0.5705401278901505,-0.0033881685050817074,-0.0647308684004168,0.0,1,-4.999810139767257,10,0.1578735560394459,40049,39556,-26026.823465888752,-31027.189323126775,2,21555
c7f81281f38dc9b3d7b2,A,15,3,13,0.01,0.0,1.5,3.0,24,True,False,,23837,-36629.83388534624,-0.3662983388534624,-0.014516988544839458,-0.27734667672430297,0.0,0,-3.6094516635391964,10,0.16691175013407228,11958,11879,-15697.935430074629,-20931.89845527176,2,4294
c801ada9ecb623599619,A,60,5,34,0.01,0.003,2.5,2.0,24,True,False,,55988,-44490.43340799439,-0.4449043340799439,-0.060803530060743856,-1.161649810728018,0.0,0,-3.785398522654361,10,0.1639324469984535,28398,27590,-15202.555805615555,-29287.877602379016,3,10517
c821acb1b6bd45bf960e,A,60,8,13,0.01,0.0,1.5,4.0,48,True,False,,9251,-4747.371597926172,-0.04747371597926173,-0.0308347927921187,-0.5890978891360135,-1.2998617117306663,1,-0.7122228363190448,10,0.18622785646672757,4778,4473,2142.1498899884746,-6889.521487914656,0,3800
c8449612b2201257fab4,B,15,8,21,0.005,0.0,2.5,4.0,12,True,False,,88413,-63801.423731823685,-0.6380142373182368,-0.08386388345861086,-1.602217243789744,0.0,0,-6.032905543443883,10,0.1550289627915383,44797,43616,-25140.640683592505,-38660.783048231235,2,10010
